question,intent,answer,language
What does CSF analysis show,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a neurosurgical consultation,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does my neuro-oncology report say,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is progression of my brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does stable disease mean for my tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is partial response in brain tumor treatment,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does complete response mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
Can I ask for a second pathology opinion,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is the difference between primary and metastatic brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a brain metastasis,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
Where did my brain tumor come from,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What are the side effects of chemotherapy,treatment,"Your treatment plan has been prepared by your doctor based on your specific diagnosis. Common brain tumor treatments include surgery, radiation therapy, and chemotherapy. Always follow your doctor's instructions and never stop medications without consulting them.",en
How does radiation therapy work for brain tumors,treatment,"Your treatment plan has been prepared by your doctor based on your specific diagnosis. Common brain tumor treatments include surgery, radiation therapy, and chemotherapy. Always follow your doctor's instructions and never stop medications without consulting them.",en
How long does my treatment last,treatment,"Your treatment plan has been prepared by your doctor based on your specific diagnosis. Common brain tumor treatments include surgery, radiation therapy, and chemotherapy. Always follow your doctor's instructions and never stop medications without consulting them.",en
